username,timestamp,activity_type,ip_address,device_info,session_duration,files_accessed,failed_logins
user004,2026-04-18 15:59:06.980171,network_connect,192.168.1.68,Windows-10,167.1,4,0
user002,2026-04-28 17:59:06.980171,login,192.168.1.147,Ubuntu,3.04,6,1
user006,2026-05-17 05:59:06.980171,database_query,192.168.1.234,Windows-10,77.63,7,0
user042,2026-05-15 09:59:06.980171,network_connect,192.168.1.222,macOS,163.69500000000002,51,6
user004,2026-05-03 22:59:06.980171,email_send,192.168.1.159,macOS,46.9,10,0
user029,2026-04-18 04:59:06.980171,database_query,192.168.1.128,Windows-10,6.18,7,4
user018,2026-05-14 04:59:06.980171,database_query,192.168.1.163,Ubuntu,47.27,15,1
user026,2026-04-18 17:59:06.980171,file_access,192.168.1.185,macOS,182.01,5,0
user044,2026-04-23 06:59:06.980171,email_send,192.168.1.85,iPhone,109.28,5,1
user034,2026-05-17 01:59:06.980171,login,192.168.1.189,macOS,26.02,6,2
user010,2026-05-04 07:59:06.980171,network_connect,192.168.1.159,Ubuntu,1.83,8,2
user036,2026-05-09 07:59:06.980171,file_access,192.168.1.83,macOS,20.24,13,3
user014,2026-04-30 22:59:06.980171,network_connect,192.168.1.95,Windows-10,78.79,8,1
user031,2026-05-14 10:59:06.980171,login,192.168.1.181,macOS,54.4,6,1
user048,2026-04-21 17:59:06.980171,login,192.168.1.32,macOS,27.67,13,0
user015,2026-04-19 17:59:06.980171,database_query,192.168.1.66,Ubuntu,2.55,5,0
user008,2026-05-07 16:59:06.980171,login,192.168.1.187,Windows-10,25.05,7,3
user014,2026-05-10 22:59:06.980171,network_connect,192.168.1.116,Ubuntu,28.49,6,0
user023,2026-05-03 22:59:06.980171,email_send,192.168.1.138,macOS,118.75,6,0
user040,2026-05-07 09:59:06.980171,email_send,192.168.1.130,iPhone,46.11,7,1
user021,2026-05-16 15:59:06.980171,database_query,192.168.1.194,macOS,16.81,8,2
user016,2026-04-28 18:59:06.980171,network_connect,192.168.1.60,Ubuntu,33.53,6,1
user045,2026-04-21 14:59:06.980171,network_connect,192.168.1.216,iPhone,3.08,9,2
user018,2026-04-28 00:59:06.980171,login,192.168.1.17,Ubuntu,161.82,7,0
user047,2026-04-27 03:59:06.980171,network_connect,192.168.1.96,Ubuntu,20.09,6,2
user024,2026-05-05 08:59:06.980171,file_access,192.168.1.144,Windows-10,29.24,6,2
user026,2026-05-08 11:59:06.980171,login,192.168.1.16,iPhone,19.75,6,1
user025,2026-05-16 13:59:06.980171,file_access,192.168.1.46,macOS,51.63,5,2
user045,2026-05-01 19:59:06.980171,database_query,192.168.1.167,Ubuntu,48.84,7,3
user041,2026-04-24 16:59:06.980171,email_send,192.168.1.245,macOS,56.54,4,2
user029,2026-05-13 17:59:06.980171,database_query,192.168.1.159,Windows-10,14.05,12,1
user015,2026-04-26 07:59:06.980171,email_send,192.168.1.107,Windows-10,17.07,6,0
user045,2026-04-25 05:59:06.980171,database_query,192.168.1.88,iPhone,6.02,10,1
user001,2026-05-09 19:59:06.980171,network_connect,192.168.1.129,Windows-10,47.96,4,2
user025,2026-04-28 05:59:06.980171,file_access,192.168.1.139,Windows-10,6.405,53,7
user007,2026-04-19 12:59:06.980171,email_send,192.168.1.119,macOS,40.97,2,1
user009,2026-05-15 04:59:06.980171,login,192.168.1.85,Windows-10,91.7,6,0
user024,2026-04-30 05:59:06.980171,file_access,192.168.1.4,Windows-10,99.67,9,0
user001,2026-04-24 19:59:06.980171,login,192.168.1.71,Ubuntu,26.82,6,1
user044,2026-05-15 16:59:06.980171,file_access,192.168.1.154,Windows-10,27.67,10,0
user008,2026-05-04 22:59:06.980171,file_access,192.168.1.111,Ubuntu,3.6,6,1
user024,2026-04-19 07:59:06.980171,database_query,192.168.1.50,Windows-10,49.99,8,1
user011,2026-04-23 13:59:06.980171,email_send,192.168.1.140,Windows-10,77.48,3,2
user017,2026-05-14 08:59:06.980171,email_send,192.168.1.95,iPhone,44.205000000000005,50,6
user008,2026-05-13 20:59:06.980171,file_access,192.168.1.209,iPhone,24.61,11,1
user035,2026-05-07 13:59:06.980171,network_connect,192.168.1.225,Ubuntu,82.14,9,3
user035,2026-04-24 19:59:06.980171,network_connect,192.168.1.203,Windows-10,94.34,7,2
user033,2026-04-21 13:59:06.980171,login,192.168.1.92,macOS,12.54,8,1
user005,2026-05-15 20:59:06.980171,login,192.168.1.224,iPhone,35.99,4,0
user042,2026-05-06 12:59:06.980171,database_query,192.168.1.65,macOS,9.62,12,2
user039,2026-05-09 07:59:06.980171,file_access,192.168.1.47,iPhone,4.84,11,1
user041,2026-05-10 17:59:06.980171,login,192.168.1.220,iPhone,381.22,51,10
user028,2026-05-07 20:59:06.980171,login,192.168.1.181,Windows-10,77.29,9,1
user007,2026-04-24 07:59:06.980171,file_access,192.168.1.106,iPhone,64.23,14,0
user009,2026-05-12 14:59:06.980171,database_query,192.168.1.199,macOS,2.25,8,1
user008,2026-04-21 17:59:06.980171,login,192.168.1.130,iPhone,83.53,8,2
user012,2026-05-02 04:59:06.980171,database_query,192.168.1.106,Ubuntu,25.93,6,1
user034,2026-05-12 17:59:06.980171,email_send,192.168.1.24,Windows-10,18.86,8,2
user033,2026-04-20 06:59:06.980171,database_query,192.168.1.4,Windows-10,35.58,6,1
user048,2026-05-05 17:59:06.980171,network_connect,192.168.1.108,Ubuntu,4.31,11,1
user023,2026-05-05 05:59:06.980171,network_connect,192.168.1.19,Ubuntu,63.6,5,0
user024,2026-04-30 14:59:06.980171,database_query,192.168.1.154,Ubuntu,39.3,12,3
user037,2026-05-05 03:59:06.980171,network_connect,192.168.1.203,iPhone,9.29,9,2
user035,2026-04-22 19:59:06.980171,email_send,192.168.1.40,Windows-10,9.38,11,1
user044,2026-04-24 14:59:06.980171,file_access,192.168.1.50,Ubuntu,9.16,6,0
user040,2026-05-16 14:59:06.980171,network_connect,192.168.1.171,iPhone,2.64,9,1
user022,2026-04-21 09:59:06.980171,network_connect,192.168.1.75,Ubuntu,39.88,9,1
user027,2026-05-05 21:59:06.980171,database_query,192.168.1.237,macOS,82.56,9,0
user035,2026-05-11 22:59:06.980171,email_send,192.168.1.195,macOS,0.79,9,2
user001,2026-04-29 06:59:06.980171,file_access,192.168.1.12,Windows-10,2.26,7,1
user035,2026-05-10 21:59:06.980171,database_query,192.168.1.195,iPhone,38.27,5,1
user037,2026-04-21 06:59:06.980171,database_query,192.168.1.234,macOS,77.04,2,1
user047,2026-05-09 09:59:06.980171,email_send,192.168.1.27,macOS,17.8,9,2
user014,2026-05-07 09:59:06.980171,file_access,192.168.1.113,iPhone,67.75999999999999,51,7
user003,2026-04-23 01:59:06.980171,email_send,192.168.1.182,Ubuntu,40.82,7,0
user001,2026-05-08 18:59:06.980171,file_access,192.168.1.194,iPhone,14.42,4,1
user005,2026-04-21 16:59:06.980171,email_send,192.168.1.49,Ubuntu,1.21,9,0
user026,2026-04-20 15:59:06.980171,database_query,192.168.1.144,macOS,59.8,8,2
user014,2026-05-13 11:59:06.980171,database_query,192.168.1.130,macOS,44.22,10,2
user039,2026-05-05 03:59:06.980171,login,192.168.1.60,macOS,39.12,9,3
user027,2026-04-25 12:59:06.980171,network_connect,192.168.1.182,Windows-10,213.185,54,6
user009,2026-05-08 11:59:06.980171,email_send,192.168.1.30,Windows-10,50.61,2,3
user015,2026-04-27 15:59:06.980171,login,192.168.1.84,Windows-10,10.37,6,1
user015,2026-04-30 18:59:06.980171,network_connect,192.168.1.166,iPhone,68.46,52,8
user026,2026-05-16 08:59:06.980171,email_send,192.168.1.28,macOS,6.07,7,0
user042,2026-05-05 10:59:06.980171,file_access,192.168.1.25,macOS,6.26,9,2
user013,2026-05-11 20:59:06.980171,network_connect,192.168.1.96,iPhone,50.74,6,0
user032,2026-05-05 08:59:06.980171,database_query,192.168.1.125,Windows-10,88.03,6,2
user039,2026-04-21 05:59:06.980171,login,192.168.1.10,iPhone,148.03,10,0
user049,2026-05-09 05:59:06.980171,network_connect,192.168.1.188,Windows-10,44.54,10,0
user032,2026-05-10 20:59:06.980171,network_connect,192.168.1.42,macOS,9.16,12,0
user004,2026-04-19 22:59:06.980171,database_query,192.168.1.40,Ubuntu,5.02,8,1
user030,2026-05-05 19:59:06.980171,email_send,192.168.1.225,Windows-10,75.41,5,2
user037,2026-05-02 16:59:06.980171,file_access,192.168.1.77,macOS,38.9,8,0
user023,2026-04-29 15:59:06.980171,database_query,192.168.1.248,macOS,43.34,8,0
user039,2026-05-08 13:59:06.980171,file_access,192.168.1.105,Ubuntu,68.44,8,0
user045,2026-05-16 07:59:06.980171,email_send,192.168.1.118,macOS,54.67,14,0
user015,2026-04-18 17:59:06.980171,network_connect,192.168.1.42,macOS,80.93,2,3
user043,2026-04-19 00:59:06.980171,file_access,192.168.1.47,Windows-10,2.6,7,2
user029,2026-05-14 02:59:06.980171,login,192.168.1.165,Windows-10,61.94,7,1
user036,2026-05-14 04:59:06.980171,login,192.168.1.246,Ubuntu,85.63,5,0
user013,2026-05-14 05:59:06.980171,database_query,192.168.1.208,Ubuntu,15.17,7,0
user032,2026-05-06 00:59:06.980171,email_send,192.168.1.237,macOS,46.03,8,4
user007,2026-05-01 12:59:06.980171,database_query,192.168.1.22,Windows-10,16.97,8,3
user022,2026-04-26 21:59:06.980171,database_query,192.168.1.185,Ubuntu,142.62,12,0
user028,2026-04-25 22:59:06.980171,database_query,192.168.1.212,Ubuntu,1.53,4,1
user002,2026-04-21 04:59:06.980171,login,192.168.1.242,iPhone,39.02,6,3
user042,2026-04-30 08:59:06.980171,login,192.168.1.107,Ubuntu,8.2,8,1
user045,2026-05-03 10:59:06.980171,database_query,192.168.1.27,macOS,56.05,9,1
user006,2026-05-14 19:59:06.980171,login,192.168.1.41,Windows-10,8.71,6,2
user028,2026-04-28 10:59:06.980171,email_send,192.168.1.80,Ubuntu,12.08,11,1
user028,2026-05-11 11:59:06.980171,database_query,192.168.1.162,iPhone,30.69,6,1
user044,2026-05-17 16:59:06.980171,login,192.168.1.160,Windows-10,110.84,9,1
user044,2026-05-03 07:59:06.980171,file_access,192.168.1.218,Ubuntu,10.71,12,0
user020,2026-04-29 11:59:06.980171,database_query,192.168.1.89,iPhone,7.01,7,2
user030,2026-04-21 23:59:06.980171,database_query,192.168.1.66,Ubuntu,64.03,14,2
user011,2026-04-22 20:59:06.980171,email_send,192.168.1.12,Windows-10,31.25,6,2
user028,2026-05-04 20:59:06.980171,network_connect,192.168.1.168,Windows-10,109.26,9,1
user025,2026-04-19 18:59:06.980171,network_connect,192.168.1.73,Windows-10,7.13,8,0
user039,2026-05-01 19:59:06.980171,email_send,192.168.1.76,macOS,163.51999999999998,55,7
user033,2026-05-05 13:59:06.980171,email_send,192.168.1.90,Ubuntu,11.93,9,1
user001,2026-05-11 07:59:06.980171,email_send,192.168.1.201,macOS,7.67,5,1
user027,2026-04-25 11:59:06.980171,network_connect,192.168.1.10,Windows-10,51.76,7,1
user013,2026-04-28 20:59:06.980171,email_send,192.168.1.96,iPhone,40.53,10,2
user041,2026-05-03 08:59:06.980171,login,192.168.1.249,Ubuntu,63.26,6,0
user003,2026-04-28 00:59:06.980171,database_query,192.168.1.226,macOS,16.66,7,0
user039,2026-05-07 19:59:06.980171,database_query,192.168.1.176,Ubuntu,26.74,8,2
user006,2026-05-01 10:59:06.980171,file_access,192.168.1.20,iPhone,23.4,6,0
user008,2026-04-24 01:59:06.980171,file_access,192.168.1.39,macOS,652.1550000000001,50,6
user027,2026-05-03 06:59:06.980171,database_query,192.168.1.60,Windows-10,15.55,7,1
user009,2026-05-13 02:59:06.980171,login,192.168.1.66,macOS,15.72,4,1
user037,2026-05-12 03:59:06.980171,network_connect,192.168.1.65,Ubuntu,19.7,12,0
user033,2026-04-23 17:59:06.980171,network_connect,192.168.1.179,Ubuntu,37.42,12,0
user042,2026-05-15 21:59:06.980171,login,192.168.1.124,Ubuntu,13.09,9,2
user044,2026-04-22 16:59:06.980171,network_connect,192.168.1.164,Ubuntu,111.08,7,1
user024,2026-05-03 20:59:06.980171,email_send,192.168.1.152,Windows-10,13.9,5,2
user015,2026-04-19 19:59:06.980171,database_query,192.168.1.246,macOS,101.77,5,2
user032,2026-04-30 22:59:06.980171,database_query,192.168.1.155,Windows-10,17.22,52,7
user032,2026-05-06 04:59:06.980171,login,192.168.1.130,Windows-10,48.09,6,1
user024,2026-05-03 10:59:06.980171,network_connect,192.168.1.159,Windows-10,374.08,52,7
user041,2026-05-02 14:59:06.980171,file_access,192.168.1.57,Ubuntu,8.32,9,0
user049,2026-04-20 08:59:06.980171,file_access,192.168.1.78,Ubuntu,155.35,8,0
user049,2026-04-23 05:59:06.980171,network_connect,192.168.1.194,Ubuntu,27.14,6,0
user012,2026-04-19 01:59:06.980171,file_access,192.168.1.29,macOS,131.11,9,1
user039,2026-05-10 07:59:06.980171,login,192.168.1.15,iPhone,50.83,8,1
user002,2026-04-21 08:59:06.980171,login,192.168.1.12,Ubuntu,16.15,5,4
user003,2026-04-30 02:59:06.980171,network_connect,192.168.1.101,macOS,9.39,9,1
user049,2026-05-11 19:59:06.980171,file_access,192.168.1.156,Ubuntu,16.29,6,2
user037,2026-04-19 10:59:06.980171,login,192.168.1.84,Ubuntu,4.39,8,1
user049,2026-04-26 22:59:06.980171,login,192.168.1.125,Windows-10,6.99,6,1
user017,2026-04-20 19:59:06.980171,email_send,192.168.1.103,Windows-10,4.97,7,1
user049,2026-04-28 08:59:06.980171,email_send,192.168.1.24,Windows-10,24.74,8,3
user002,2026-05-03 08:59:06.980171,login,192.168.1.149,macOS,71.44,5,1
user002,2026-05-11 05:59:06.980171,network_connect,192.168.1.138,iPhone,6.86,8,0
user028,2026-04-18 10:59:06.980171,database_query,192.168.1.110,iPhone,6.28,5,1
user023,2026-04-28 18:59:06.980171,database_query,192.168.1.78,macOS,46.4,9,2
user037,2026-05-09 16:59:06.980171,login,192.168.1.101,Ubuntu,9.88,11,0
user032,2026-05-02 00:59:06.980171,login,192.168.1.146,macOS,4.62,8,1
user033,2026-04-26 01:59:06.980171,login,192.168.1.216,Ubuntu,28.735000000000003,51,6
user001,2026-04-27 20:59:06.980171,network_connect,192.168.1.142,macOS,115.81,11,0
user019,2026-04-24 14:59:06.980171,email_send,192.168.1.162,macOS,77.54,7,0
user002,2026-05-07 09:59:06.980171,login,192.168.1.128,macOS,19.67,10,0
user044,2026-05-01 14:59:06.980171,login,192.168.1.58,iPhone,48.0,8,0
user026,2026-04-27 04:59:06.980171,file_access,192.168.1.76,Windows-10,34.68,9,0
user032,2026-04-18 04:59:06.980171,network_connect,192.168.1.150,macOS,50.87,7,1
user006,2026-05-04 07:59:06.980171,login,192.168.1.248,iPhone,51.65,7,2
user032,2026-05-12 11:59:06.980171,file_access,192.168.1.198,Windows-10,44.59,12,0
user004,2026-05-05 21:59:06.980171,database_query,192.168.1.36,Windows-10,13.92,3,1
user011,2026-04-20 16:59:06.980171,login,192.168.1.173,macOS,1.79,6,0
user017,2026-05-09 14:59:06.980171,login,192.168.1.164,Ubuntu,27.36,9,3
user038,2026-05-07 00:59:06.980171,file_access,192.168.1.22,Ubuntu,99.73,8,1
user024,2026-04-28 22:59:06.980171,network_connect,192.168.1.206,Ubuntu,37.93,8,0
user005,2026-05-09 05:59:06.980171,login,192.168.1.127,macOS,80.38,7,2
user034,2026-05-06 08:59:06.980171,database_query,192.168.1.80,Ubuntu,215.21,9,1
user006,2026-05-03 06:59:06.980171,login,192.168.1.189,iPhone,8.04,11,1
user022,2026-04-26 00:59:06.980171,database_query,192.168.1.100,iPhone,52.96,8,1
user011,2026-04-20 02:59:06.980171,email_send,192.168.1.184,iPhone,50.48,7,1
user048,2026-05-17 12:59:06.980171,email_send,192.168.1.217,iPhone,175.94,8,0
user016,2026-05-10 04:59:06.980171,database_query,192.168.1.96,Windows-10,190.83,15,0
user033,2026-04-20 21:59:06.988394,network_connect,192.168.1.161,iPhone,52.22,14,1
user009,2026-05-16 21:59:06.988394,login,192.168.1.173,Ubuntu,12.56,10,0
user006,2026-05-17 13:59:06.988394,login,192.168.1.164,macOS,72.1,6,2
user016,2026-05-05 21:59:06.988394,email_send,192.168.1.148,Ubuntu,5.09,13,1
user029,2026-05-05 02:59:06.988394,database_query,192.168.1.18,iPhone,68.28,4,0
user003,2026-04-22 00:59:06.988394,login,192.168.1.38,Windows-10,108.46,4,0
user020,2026-05-11 20:59:06.988394,login,192.168.1.195,iPhone,21.72,7,1
user036,2026-05-12 15:59:06.988394,network_connect,192.168.1.151,macOS,44.82,10,0
user019,2026-04-22 08:59:06.988394,file_access,192.168.1.224,Ubuntu,25.31,13,1
user026,2026-04-22 04:59:06.988394,email_send,192.168.1.109,macOS,25.91,6,0
user003,2026-05-03 20:59:06.988394,email_send,192.168.1.123,macOS,16.72,10,2
user019,2026-05-07 23:59:06.988394,file_access,192.168.1.144,macOS,64.62,5,1
user020,2026-05-06 05:59:06.988394,login,192.168.1.187,Ubuntu,123.82,11,1
user032,2026-05-10 11:59:06.988394,network_connect,192.168.1.197,iPhone,127.17,6,2
user007,2026-04-19 19:59:06.988394,network_connect,192.168.1.196,macOS,8.64,8,1
user041,2026-04-21 16:59:06.988394,email_send,192.168.1.149,Ubuntu,93.48,4,1
user033,2026-05-09 16:59:06.988394,network_connect,192.168.1.104,Windows-10,60.18,8,2
user040,2026-05-09 15:59:06.988394,file_access,192.168.1.243,Ubuntu,13.12,9,0
user039,2026-05-09 04:59:06.988394,login,192.168.1.206,Windows-10,3.13,11,1
user018,2026-05-06 14:59:06.988394,file_access,192.168.1.231,Ubuntu,14.04,8,0
user040,2026-05-10 04:59:06.988394,database_query,192.168.1.223,iPhone,109.48,8,1
user001,2026-04-20 02:59:06.988394,email_send,192.168.1.206,macOS,45.13,9,1
user011,2026-04-18 07:59:06.988394,network_connect,192.168.1.198,iPhone,57.45,13,2
user028,2026-04-21 15:59:06.988394,database_query,192.168.1.140,Ubuntu,13.38,10,3
user025,2026-05-07 02:59:06.988394,network_connect,192.168.1.144,macOS,200.165,54,6
user050,2026-05-02 18:59:06.988394,login,192.168.1.81,Windows-10,4.48,53,7
user023,2026-05-12 00:59:06.988394,login,192.168.1.237,Ubuntu,21.17,7,2
user031,2026-04-22 19:59:06.988394,login,192.168.1.87,macOS,44.35,12,0
user030,2026-05-09 12:59:06.988394,network_connect,192.168.1.142,Windows-10,7.11,2,0
user042,2026-05-04 11:59:06.988394,database_query,192.168.1.61,Windows-10,77.92,6,1
user035,2026-04-30 00:59:06.988394,login,192.168.1.199,iPhone,12.06,6,1
user007,2026-05-05 23:59:06.988394,database_query,192.168.1.46,Ubuntu,47.54,6,1
user016,2026-05-06 09:59:06.988394,network_connect,192.168.1.32,Windows-10,23.38,13,3
user026,2026-04-23 09:59:06.988394,database_query,192.168.1.15,macOS,40.79,6,0
user048,2026-04-29 03:59:06.988394,network_connect,192.168.1.44,Windows-10,5.12,6,0
user049,2026-04-25 08:59:06.988394,network_connect,192.168.1.145,Windows-10,0.77,9,2
user002,2026-05-14 09:59:06.988394,email_send,192.168.1.169,iPhone,108.14,8,1
user001,2026-05-09 23:59:06.988394,network_connect,192.168.1.54,iPhone,14.14,14,0
user048,2026-04-26 23:59:06.988394,network_connect,192.168.1.239,macOS,77.09,6,0
user012,2026-04-29 10:59:06.988394,file_access,192.168.1.44,iPhone,1155.9099999999999,49,7
user005,2026-04-30 16:59:06.988394,login,192.168.1.98,Windows-10,10.69,9,0
user037,2026-04-30 03:59:06.988394,email_send,192.168.1.5,Windows-10,13.87,7,0
user032,2026-04-26 17:59:06.988394,email_send,192.168.1.109,iPhone,48.93,8,0
user009,2026-04-24 13:59:06.988394,email_send,192.168.1.27,Windows-10,151.44,8,1
user041,2026-04-21 19:59:06.988756,file_access,192.168.1.116,Windows-10,111.36,10,0
user035,2026-04-20 12:59:06.988756,network_connect,192.168.1.87,macOS,31.45,6,1
user019,2026-04-29 19:59:06.988756,login,192.168.1.104,iPhone,71.34,4,0
user048,2026-04-19 00:59:06.988756,database_query,192.168.1.123,Windows-10,22.959999999999997,55,7
user016,2026-05-03 21:59:06.988756,network_connect,192.168.1.206,iPhone,170.62,10,1
user003,2026-05-11 10:59:06.988756,file_access,192.168.1.79,macOS,150.03,5,3
user020,2026-05-01 01:59:06.988756,network_connect,192.168.1.43,iPhone,8.05,7,0
user024,2026-04-21 22:59:06.988756,network_connect,192.168.1.97,Windows-10,16.01,8,2
user033,2026-04-28 17:59:06.988756,file_access,192.168.1.245,iPhone,4.75,4,0
user024,2026-05-14 10:59:06.988756,email_send,192.168.1.31,Windows-10,14.27,7,0
user011,2026-04-18 02:59:06.988756,email_send,192.168.1.99,Windows-10,76.17,12,2
user049,2026-04-19 22:59:06.988756,login,192.168.1.17,Windows-10,21.39,8,0
user008,2026-04-30 05:59:06.988756,login,192.168.1.220,macOS,4.16,6,1
user036,2026-04-29 13:59:06.988756,email_send,192.168.1.83,iPhone,18.85,5,2
user038,2026-05-14 01:59:06.988756,database_query,192.168.1.110,macOS,179.27,8,0
user040,2026-05-16 18:59:06.988756,network_connect,192.168.1.182,iPhone,44.7,9,4
user020,2026-05-16 07:59:06.988756,database_query,192.168.1.190,macOS,24.22,4,3
user035,2026-05-16 18:59:06.988756,network_connect,192.168.1.215,Ubuntu,8.2,9,2
user048,2026-05-12 15:59:06.988756,email_send,192.168.1.32,Windows-10,192.66,6,0
user025,2026-05-08 03:59:06.988756,login,192.168.1.168,Windows-10,77.38,11,1
user035,2026-04-29 00:59:06.988756,login,192.168.1.141,macOS,14.88,9,0
user025,2026-04-19 10:59:06.988756,database_query,192.168.1.251,Ubuntu,3.27,8,3
user029,2026-05-15 09:59:06.988756,login,192.168.1.212,Windows-10,2.62,8,1
user018,2026-04-30 14:59:06.988756,email_send,192.168.1.35,iPhone,5.77,7,0
user046,2026-04-27 07:59:06.988756,database_query,192.168.1.133,macOS,39.12,7,1
user018,2026-05-17 19:59:06.988756,network_connect,192.168.1.201,Windows-10,416.08,52,7
